Date,Open,High,Low,Close,AdjClose,Volume
2020-04-23,210.240005,210.559998,203.460007,205.240005,205.240005,20424000
2020-04-24,205.889999,206.5,202.820007,204.360001,204.360001,14682400
2020-04-27,207.550003,207.779999,202.029999,203.690002,203.690002,17286800
2020-04-28,204.809998,205.190002,199.406998,201.149994,201.149994,17203800
2020-04-29,202.929993,207.080002,202.509995,206.699997,206.699997,19117800
2020-04-30,206.25,206.699997,199.289993,202.669998,202.669998,20094400
2020-05-01,195.75,197.380005,192.860001,194.479996,194.479996,22276200
2020-05-04,194.759995,195,189.529999,191.149994,191.149994,25709400
2020-05-05,196.380005,198.270004,194.199997,195.020004,195.020004,22957200
2020-05-06,197.669998,198.910004,194.929993,195.169998,195.169998,18598900
2020-05-07,198,198.089996,194.779999,196.490005,196.490005,16164600
2020-05-08,199.800003,203.020004,198.679993,201.190002,201.190002,23830100
2020-05-11,202.779999,206.639999,202.380005,205.399994,205.399994,17883700
2020-05-12,206.949997,208.050003,200.020004,200.309998,200.309998,17826800
2020-05-13,203.619995,204.679993,197.979996,199.460007,199.460007,22429700
2020-05-14,195.5,201.770004,194.029999,201.300003,201.300003,20025900
2020-05-15,200.699997,204.490005,200.100006,203.679993,203.679993,17209500
2020-05-18,212.5,215.470001,210.369995,215.279999,215.279999,23646800
2020-05-19,216.729996,220.589996,215.190002,217.199997,217.199997,21438100
2020-05-20,220,221.156998,210.580002,216.789993,216.789993,38324100
2020-05-21,211.289993,214.580002,209.529999,212.160004,212.160004,29850700
2020-05-22,203.229996,204.880005,198.990005,199.699997,199.699997,51979300
2020-05-26,205.940002,206.800003,201,201.720001,201.720001,28683200
2020-05-27,202.990005,202.990005,196.75,201.179993,201.179993,23605400
2020-05-28,199,202.369995,197.619995,199.490005,199.490005,18763200
2020-05-29,200,207.880005,196.699997,207.389999,207.389999,43211500
2020-06-01,205.899994,207.199997,203.940002,206.570007,206.570007,16169700
2020-06-02,207.210007,214.570007,207.169998,214.330002,214.330002,22485800
2020-06-03,215.600006,218.970001,213.75,218.610001,218.610001,19999500
2020-06-04,217.279999,220,216.320007,218.039993,218.039993,14962400
2020-06-05,220,220.589996,218.699997,219.550003,219.550003,11983200
2020-06-08,219.600006,220.399994,215.330002,219,219,12731200
2020-06-09,216.309998,220.720001,216.199997,220.720001,220.720001,14140100
2020-06-10,222,225,220.600006,223.679993,223.679993,13372400
2020-06-11,218,219.949997,213.559998,215.240005,215.240005,15560300
2020-06-12,218.5,219.5,213.880005,217.639999,217.639999,12707600
2020-06-15,214.110001,217.720001,212.75,217.029999,217.029999,17419900
2020-06-16,221,224.839996,220.100006,222.619995,222.619995,17212400
2020-06-17,224.399994,225,222.5,224.25,224.25,12475400
2020-06-18,223.740005,226.029999,222.919998,223.539993,223.539993,10358800
2020-06-19,226.380005,226.5,220.089996,220.639999,220.639999,19545200
2020-06-22,220.919998,222.080002,219.445007,221.410004,221.410004,13303600
2020-06-23,225.119995,230.225006,224.529999,228.75,228.75,18263400
2020-06-24,228.300003,231.029999,224.251999,226.220001,226.220001,12159500
2020-06-25,224.589996,224.690002,220.869995,222.160004,222.160004,14953100
2020-06-26,222.210007,222.259995,213.5,215.710007,215.710007,19340600
2020-06-29,215.029999,216.5,211.820007,215.020004,215.020004,12333000
2020-06-30,215.740005,216.429993,212.889999,215.699997,215.699997,12933800
2020-07-01,215.809998,216.550003,214.740005,215.949997,215.949997,11788100
2020-07-02,221.850006,225.024994,220.059998,223.600006,223.600006,18128700
2020-07-06,233.309998,240.479996,232.820007,240,240,33702900
2020-07-07,241.009995,241.300003,236.130005,236.509995,236.509995,16491600
2020-07-08,244.860001,258.48999,244.020004,257.679993,257.679993,39922700
2020-07-09,265.549988,268,255.910004,261.579987,261.579987,36803900
2020-07-10,260.209991,261.899994,255.710007,261.01001,261.01001,20335000
2020-07-13,261.450012,265.660004,250.679993,251.669998,251.669998,21568700
2020-07-14,246.570007,249.75,241.229996,248.580002,248.580002,19782600
2020-07-15,251.479996,252.5,246.539993,249.210007,249.210007,12614700
2020-07-16,241.770004,245.050003,240.740005,242.5,242.5,18032100
2020-07-17,246.550003,247.929993,244.479996,247.139999,247.139999,18742400
2020-07-20,256.450012,257.670013,252.429993,254.809998,254.809998,19015000
2020-07-21,261.209991,261.920013,256.519989,257.899994,257.899994,17130300
2020-07-22,255.759995,256.269989,249.600006,251.699997,251.699997,19682200
2020-07-23,252.100006,257.660004,248.690002,251.880005,251.880005,25712000
2020-07-24,244.960007,249.479996,241.889999,249,249,17221500
2020-07-27,247.110001,252.869995,245.809998,250.860001,250.860001,18966900
2020-07-28,251.149994,251.649994,248.529999,249.050003,249.050003,9878700
2020-07-29,250.339996,254.300003,250.100006,252.449997,252.449997,11493600
2020-07-30,251.699997,253.860001,249.619995,252.740005,252.740005,7032900
2020-07-31,254.199997,254.399994,248.100006,251.020004,251.020004,12310700
2020-08-03,254.020004,260.649994,254,257.940002,257.940002,11530300
2020-08-04,260.079987,262.559998,258.820007,262.200012,262.200012,10994500
2020-08-05,263.73999,265.976013,261.755005,264.910004,264.910004,10729200
2020-08-06,263.420013,265.700012,259.200012,265.679993,265.679993,10359500
2020-08-07,257.410004,257.76001,247.570007,252.100006,252.100006,22517800
2020-08-10,249.339996,251.75,246.100006,248.130005,248.130005,13621700
2020-08-11,251.289993,252.880005,247.830002,248.419998,248.419998,10681800
2020-08-12,249.25,256.079987,248.679993,255.190002,255.190002,11120400
2020-08-13,256.390015,256.970001,252.880005,253.720001,253.720001,8794500
2020-08-14,255.490005,255.770004,251.639999,253.970001,253.970001,7876400
2020-08-17,253,257.375,250.085007,256.959991,256.959991,9749600
